ticker,market,ipo_date,regime_base,regime_minus20,regime_plus20,fragile
META,US,2012-05-18,NEUTRAL,TURBULENT,NEUTRAL,True
V,US,2008-03-19,TURBULENT,TURBULENT,TURBULENT,False
UBER,US,2019-05-10,NEUTRAL,TURBULENT,NEUTRAL,True
IRCTC,IN,2019-10-14,TURBULENT,TURBULENT,NEUTRAL,True
SBICARD,IN,2020-03-16,TURBULENT,TURBULENT,TURBULENT,False
ZOMATO,IN,2021-07-23,BULL,BULL,BULL,False
NYKAA,IN,2021-11-10,BULL,BULL,BULL,False
PAYTM,IN,2021-11-18,BULL,BULL,BULL,False
LICI,IN,2022-05-17,NEUTRAL,TURBULENT,NEUTRAL,True
