ticker,name,market,ipo_date,day1_return_pct,regime,ret_6m_signal,drawdown_1y,vol_pct_2y,post_ret_1M,post_ret_3M,post_ret_6M,post_ret_12M
META,Meta Platforms (Facebook),US,2012-05-18,0.61,NEUTRAL,0.0655,0.0873,0.7154,-17.84,-50.17,-38.37,-31.34
V,Visa Inc.,US,2008-03-19,28.41,TURBULENT,-0.1508,0.1704,0.9861,22.12,49.15,23.13,-6.74
UBER,Uber Technologies,US,2019-05-10,-7.62,NEUTRAL,0.0361,0.0219,0.7137,2.5,-3.66,-35.03,-21.12
IRCTC,Indian Railway Catering & Tourism Corp,IN,2019-10-14,127.42,TURBULENT,-0.026,0.0618,0.7821,24.67,33.86,77.37,83.86
SBICARD,SBI Cards & Payment Services,IN,2020-03-16,-9.54,TURBULENT,-0.1641,0.256,1.0,-21.91,-14.04,24.97,50.0
ZOMATO,Zomato Ltd,IN,2021-07-23,64.87,BULL,0.1033,0.0043,0.0181,0.99,9.33,-9.8,-57.42
NYKAA,FSN E-Commerce Ventures (Nykaa),IN,2021-11-10,96.27,BULL,0.2058,0.0249,0.2986,-4.13,-22.41,-38.49,-48.79
PAYTM,One97 Communications (Paytm),IN,2021-11-18,-27.26,BULL,0.1758,0.0385,0.224,-15.36,-46.6,-62.31,-64.95
LICI,Life Insurance Corp of India,IN,2022-05-17,-7.77,NEUTRAL,-0.0916,0.12,0.7295,-25.22,-20.26,-26.44,-34.88
